keyword,category,title,final_price,rating,reviews,platform,delivery,currency,is_emi,link
office chair ergonomic,office equipments,Boat office chair ergonomic Model 922,11394.0,3.7,,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 296,10726.0,,3096.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 166,43776.0,3.3,3844.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 883,103500.0,4.3,4194.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 835,5646.0,4.2,3419.0,amazon,5 Days,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 483,26374.0,4.4,2145.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 957,23854.0,4.8,3087.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 651,11700.0,4.4,1813.0,reliance digital,2 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 603,46330.0,4.4,1403.0,amazon,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 962,33577.0,2.9,991.0,amazon,Free Delivery,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 736,999.0,3.5,2305.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 128,20084.0,,2575.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 943,18372.0,4.2,367.0,croma,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 944,21252.0,3.0,3789.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 319,34307.0,4.1,1256.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 984,999.0,4.6,2494.0,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 791,35653.0,3.6,4443.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 540,17273.0,3.6,561.0,croma,Free Delivery,UNKNOWN,False,
air fryer india,other,Boat air fryer India Model 608,10828.0,3.3,4277.0,flipkart,5 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 710,46350.0,3.6,2345.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 545,5049.0,4.4,557.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 952,43614.0,5.0,3948.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 946,17773.0,3.6,587.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 239,4103.0,4.7,4335.0,amazon,2 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 541,44752.0,4.6,3692.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 227 ,380730.0,2.9,1574.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 925,32710.0,3.1,3780.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 773 ,12222.0,4.3,3755.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 475,10153.0,2.9,3274.0,amazon,5 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 607,28433.0,,2110.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 131,6862.0,3.9,1670.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 132,2008.0,4.8,2465.0,croma,5 Days,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 598,32326.0,4.8,3889.0,croma,2 Days,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 152,39884.0,3.0,491.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 270,35994.0,2.7,2870.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 786,28304.0,4.4,2261.0,reliance digital,2 Days,UNKNOWN,False,
air fryer india,other,Samsung air fryer India Model 883,5559.0,,3803.0,croma,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 754,2828.0,3.2,1712.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 631,35507.0,3.1,4810.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 213,40084.0,3.6,1704.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 315,39361.0,3.9,405.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 904,32777.0,4.4,774.0,croma,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 298 ,16898.0,4.2,4324.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 876,123310.0,3.3,2499.0,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 363,28760.0,4.9,1266.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 246,40731.0,4.7,4537.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 564,8799.0,3.5,4884.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 837,45797.0,4.4,3484.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 306,16492.0,2.6,4233.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 231,19356.0,3.3,3401.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 208,4378.0,,646.0,amazon,2 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 981,24681.0,4.6,2547.0,flipkart,5 Days,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 362,43372.0,2.9,705.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 442 ,18356.0,3.3,1514.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 539,25404.0,3.3,3211.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 689,44441.0,3.3,3789.0,amazon,2 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 524 ,18745.0,4.4,1310.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Nike power bank fast charging Model 495,45830.0,4.5,3175.0,croma,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 581,20763.0,3.4,4476.0,croma,Free Delivery,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 402,20591.0,4.8,3083.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 444,46465.0,3.9,451.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 412,30081.0,3.1,1743.0,croma,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 919,32059.0,4.1,692.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Philips office chair ergonomic Model 756,28361.0,,159.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 538,18724.0,3.7,4023.0,flipkart,5 Days,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 620,10627.0,2.6,1998.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 625,4607.0,2.9,1964.0,reliance digital,5 Days,UNKNOWN,False,
microwave oven convection,other,Philips microwave oven convection Model 363,545.0,4.5,3336.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 877,3589.0,3.1,2943.0,amazon,2 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 689,189420.0,4.7,4390.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 745,49612.0,,4854.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 311,41787.0,3.0,4005.0,amazon,5 Days,UNKNOWN,False,
air fryer india,other,Boat air fryer India Model 698,46221.0,,1104.0,reliance digital,2 Days,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 515,9979.0,4.4,424.0,croma,2 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 468,47880.0,3.1,3824.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,Nike power bank fast charging Model 679,26131.0,4.4,209.0,flipkart,5 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 520,6468.0,4.1,4876.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 689,46669.0,4.3,2589.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 441,1788.0,4.4,713.0,flipkart,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 238 ,12511.0,4.8,910.0,flipkart,2 Days,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 409,30972.0,3.5,2526.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Philips microwave oven convection Model 744,12043.0,3.9,3591.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 707,34331.0,,662.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 702,16855.0,3.4,1687.0,amazon,Free Delivery,UNKNOWN,False,
air fryer india,other,Samsung air fryer India Model 320,25030.0,3.7,3449.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 115,6514.0,3.7,2024.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 613,37203.0,3.5,4794.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 455,14463.0,4.6,3414.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 410,14986.0,3.1,2293.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 901,10247.0,3.6,2696.0,reliance digital,2 Days,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 538 ,999.0,4.0,39.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 534,35646.0,4.7,2485.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 324,24783.0,3.0,1077.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 915,21233.0,4.6,57.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 937,45235.0,2.5,1819.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 692,6110.0,2.9,3598.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 815,5912.0,3.6,80.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 679,999.0,3.5,19.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 101,35363.0,4.4,2354.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 415,8944.0,3.7,2974.0,amazon,2 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 947,26570.0,4.9,1076.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 212 ,12632.0,3.0,2291.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 314,40602.0,4.0,4062.0,amazon,Free Delivery,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 150,26407.0,2.9,3910.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 129,42006.0,4.5,3287.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 363,23530.0,4.0,641.0,flipkart,2 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 347 ,31724.0,3.1,612.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Philips microwave oven convection Model 280,23316.0,2.5,1090.0,flipkart,2 Days,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 440,13597.0,3.6,4156.0,amazon,2 Days,UNKNOWN,False,
microwave oven convection,other,Philips microwave oven convection Model 635,12598.0,4.1,3062.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 596,12685.0,5.0,1964.0,flipkart,2 Days,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 884,3840.0,4.9,2735.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 458,9171.0,2.5,3658.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 997,44964.0,3.6,802.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 235,44793.0,4.2,4777.0,flipkart,5 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 224,5069.0,4.3,2597.0,reliance digital,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 226,14746.0,3.1,1199.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Nike power bank fast charging Model 262,19476.0,4.0,4865.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 563,26629.0,3.8,371.0,croma,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 822,999.0,2.8,4732.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 573 ,34168.0,4.3,1223.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 911,1095.0,3.5,2227.0,reliance digital,5 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 342,24507.0,2.7,389.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 764,26390.0,4.1,1905.0,croma,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 978,42076.0,,2971.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 210 ,11972.0,3.6,629.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 133,3630.0,3.7,4648.0,amazon,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 837,13147.0,4.2,32.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 541,18499.0,3.4,2522.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 286,12239.0,3.7,4088.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 383 ,45126.0,3.0,3458.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Dell office chair ergonomic Model 133,5073.0,3.3,515.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 103,9195.0,4.3,426.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 554,7198.0,4.8,4075.0,amazon,5 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 535,42894.0,4.0,387.0,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 114,19237.0,4.2,2847.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 168,229430.0,3.2,2872.0,flipkart,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 171,48035.0,4.6,4068.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 226,45427.0,,3127.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 726,2163.0,3.5,1528.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 626,21070.0,3.5,2232.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 277 ,36657.0,4.7,4480.0,croma,Free Delivery,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 527,38330.0,3.3,1963.0,flipkart,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 948 ,10068.0,4.5,3869.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 896,47595.0,4.1,2583.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Dell office chair ergonomic Model 164,45070.0,4.1,2690.0,flipkart,2 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 194,31793.0,,2201.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 173,47111.0,3.6,2074.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 145,44221.0,4.5,4997.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 321,28313.0,3.5,4186.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 163,22657.0,3.8,3631.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Philips microwave oven convection Model 889,861.0,5.0,1382.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 541,46064.0,4.9,3147.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 594 ,41057.0,3.6,3166.0,reliance digital,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 891,42516.0,4.6,2855.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 552,46946.0,2.7,3568.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 509 ,8160.0,,4917.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 163,30641.0,4.0,3963.0,flipkart,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 605,40321.0,3.9,2672.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 553,41567.0,4.5,2251.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 990,27357.0,3.7,1960.0,croma,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 178,5007.0,4.5,543.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 658,19178.0,4.9,4495.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 392,18929.0,3.7,4407.0,amazon,Free Delivery,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 426,22209.0,,1544.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Dell office chair ergonomic Model 777,11887.0,2.7,153.0,flipkart,2 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 948,17183.0,2.7,130.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 218,1280.0,,4982.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Philips microwave oven convection Model 209,27815.0,3.2,4406.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 923,49220.0,2.8,3066.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 398,4006.0,3.9,3536.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 348,14376.0,4.6,2307.0,croma,5 Days,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 458,7058.0,3.1,516.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 143,27040.0,3.5,3942.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 902,36998.0,5.0,2677.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 168,20097.0,3.5,2880.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Dell power bank fast charging Model 817,8299.0,3.7,,flipkart,5 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 436,38648.0,4.2,2095.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 921,16964.0,2.7,4354.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 675,2014.0,3.7,1428.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 399,3266.0,3.2,3596.0,amazon,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 305 ,15697.0,3.7,1940.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 852,4773.0,4.5,3005.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 440 ,4334.0,2.5,2041.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 186,21352.0,3.3,2849.0,croma,5 Days,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 200,31794.0,4.0,354.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 577,38962.0,2.9,99.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Dell power bank fast charging Model 966,28133.0,4.4,2950.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Philips office chair ergonomic Model 470,37042.0,4.9,4107.0,flipkart,2 Days,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 136,114690.0,3.4,2456.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 839,2510.0,2.5,3356.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 918,41601.0,2.9,2072.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 663,5712.0,4.2,1139.0,amazon,5 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 610,39140.0,2.9,3032.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 799,5743.0,3.8,1695.0,flipkart,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 649,999.0,4.4,4972.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 547,2086.0,4.6,2882.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,Samsung air fryer India Model 355 ,43541.0,3.3,2088.0,amazon,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 983,2556.0,3.3,951.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 422,40011.0,3.9,108.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 829 ,48584.0,3.1,1055.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 549,35974.0,4.0,3831.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 919,3772.0,,1377.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 331,12621.0,3.0,2262.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 220 ,39474.0,3.1,1988.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 785,7514.0,3.1,4026.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 174,47927.0,2.7,3938.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 658,33900.0,4.0,458.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 587,44061.0,,,amazon,2 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 299,19916.0,4.6,281.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 117,42880.0,2.6,3811.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 418,3327.0,4.4,1863.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 738,48929.0,3.5,2114.0,croma,2 Days,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 250,18528.0,4.4,4222.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 312,34695.0,3.4,3977.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 761,23220.0,4.5,3713.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 395,18860.0,2.6,2188.0,flipkart,2 Days,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 654,37225.0,4.9,1798.0,croma,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Philips microwave oven convection Model 322,38800.0,4.2,3643.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 215 ,395720.0,3.3,3512.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 650,20379.0,4.0,1776.0,croma,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 869,45800.0,4.5,2207.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 120,46739.0,4.6,3913.0,amazon,2 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 324,38021.0,3.8,3188.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 315,3378.0,,1762.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 828,29703.0,2.6,3912.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 527,30519.0,4.9,4510.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 610,36000.0,,3800.0,amazon,2 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 578,36341.0,4.8,883.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 347,17219.0,4.9,4143.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 219,34253.0,,841.0,flipkart,5 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 250,39513.0,3.4,4537.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 491,25496.0,3.4,2200.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 426,27021.0,3.8,2209.0,amazon,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 267,46662.0,3.0,359.0,reliance digital,2 Days,UNKNOWN,False,
